PRACTICE_NAME,PRACTICE_CODE
Amwell Group Practice,F83652
Archway Primary Care Team,F83004
Barnsbury Medical Practice,F83033
City Road Medical Centre,F83064
Clerkenwell Medical Practice,F83624
Elizabeth Avenue Group Practice,F83012
Goodinge Group Practice,F83008
Hanley Primary Care Centre,Y01066
Highbury Grange Medical Practice,F83660
Islington Central Medical Centre,F83010
Killick Street Health Centre,F83063
Mildmay Medical Practice,F83053
Mitchison Road Surgery,F83056
New North Health Centre,F83034
Partnership Primary Care Centre,F83681
Pine Street Medical Practice,F83678
Ritchie Street Group Practice,F83021
Roman Way Medical Centre,F83007
Sobell Medical Centre,F83680
St John's Way Medical Centre,F83015
St Peter's Street Medical Practice,F83032
Stroud Green Medical Clinic,F83686
The Andover Medical Centre,F83666
The Beaumont Practice,F83671
The Family Practice,F83027
The Group Practice at River Place,F83002
The Junction Medical Practice,F83674
The Medical Centre,F83673
The Miller Practice,F83045
The Northern Medical Centre,F83060
The Rise Group Practice,F83039
The Village Practice,F83664